epoch,train_mse
1,13.515796
2,6.707115
3,3.796179
4,3.614691
5,3.415933
6,3.258196
7,3.138405
8,3.068161
9,2.960969
10,2.878690
11,2.833690
12,2.776238
13,2.721215
14,2.684341
15,2.640587
16,2.619023
17,2.579315
18,2.547761
19,2.524455
20,2.493324
