epoch,train_mse
1,9.253562
2,4.619227
3,3.676830
4,3.143322
5,2.880457
6,2.755688
7,2.698541
8,2.668108
9,2.307575
10,1.978873
11,1.804368
12,1.677518
13,1.566412
14,1.488588
15,1.379178
16,1.365099
17,1.309521
18,1.344628
19,1.280763
20,1.261610
21,1.267088
22,1.263218
23,1.261697
24,1.263495
25,1.258073
26,1.310697
27,1.316098
28,1.258416
29,1.250488
30,1.230099
