epoch,train_mse
1,9.361233
2,2.817314
3,1.139098
4,0.691068
5,0.542186
6,0.443640
7,0.374740
8,0.323131
9,0.286951
10,0.259605
11,0.238721
12,0.206715
13,0.193289
14,0.175565
15,0.164146
16,0.151579
17,0.144358
18,0.150203
19,0.140385
20,0.136951
