epoch,train_mse
1,10.577028
2,3.409010
3,1.904113
4,1.197792
5,0.854184
6,0.724812
7,0.627206
8,0.550670
9,0.479303
10,0.409242
11,0.352809
12,0.303093
13,0.264166
14,0.231129
15,0.207358
16,0.193175
17,0.184765
18,0.177446
19,0.167377
20,0.166988
21,0.166038
22,0.163790
23,0.156580
24,0.153740
25,0.151947
26,0.157806
27,0.166510
28,0.150583
29,0.149397
30,0.152715
