epoch,train_mse
1,13.252010
2,7.746341
3,3.930555
4,3.538240
5,3.271030
6,3.056364
7,2.899320
8,2.774269
9,2.663551
10,2.542925
11,2.417402
12,2.240869
13,2.038279
14,1.809739
15,1.536666
16,1.297780
17,1.070531
18,0.875927
19,0.723942
20,0.620207
21,0.543710
22,0.468326
23,0.420421
24,0.378286
25,0.356439
26,0.322296
27,0.304576
28,0.283709
29,0.277740
30,0.261297
