epoch,train_mse
1,10.430136
2,2.710038
3,1.436775
4,0.884343
5,0.703339
6,0.618548
7,0.555968
8,0.505337
9,0.459535
10,0.417956
11,0.379300
12,0.344556
13,0.313664
14,0.285909
15,0.260763
16,0.239109
17,0.220608
18,0.205739
19,0.193041
20,0.182921
21,0.175263
22,0.169545
23,0.165605
24,0.162502
25,0.159888
26,0.157646
27,0.155804
28,0.154055
29,0.152302
30,0.150836
