epoch,train_mse
1,9.669009
2,2.586358
3,1.059165
4,0.743317
5,0.508927
6,0.425809
7,0.342890
8,0.308656
9,0.267916
10,0.241713
11,0.218799
12,0.201883
13,0.188162
14,0.175994
15,0.166164
16,0.158011
17,0.154759
18,0.152290
19,0.149915
20,0.146815
