epoch,train_mse
1,11.137354
2,1.352846
3,0.661895
4,0.461880
5,0.352821
6,0.292656
7,0.242206
8,0.217979
9,0.193967
10,0.182092
11,0.167010
12,0.155647
13,0.146325
14,0.149334
15,0.139880
16,0.140982
17,0.149796
18,0.151727
19,0.135529
20,0.138796
21,0.136955
22,0.136434
23,0.145582
24,0.140605
25,0.129751
26,0.132479
27,0.128993
28,0.123300
29,0.130293
30,0.131791
