epoch,train_mse
1,12.946663
2,5.700756
3,2.514953
4,2.041244
5,1.309551
6,1.015369
7,0.833027
8,0.744346
9,0.688180
10,0.637579
11,0.593885
12,0.553948
13,0.514566
14,0.476647
15,0.442509
16,0.410514
17,0.380185
18,0.351861
19,0.325169
20,0.300898
