epoch,train_mse
1,12.607287
2,7.556317
3,4.941076
4,4.370017
5,4.018020
6,3.518121
7,3.214337
8,3.150724
9,3.050439
10,2.990906
11,2.770837
12,2.655548
13,2.782363
14,2.524198
15,2.360953
16,2.299644
17,2.195459
18,2.105025
19,1.972364
20,1.926898
