epoch,train_mse
1,8.380021
2,3.551092
3,2.781936
4,2.147804
5,1.514857
6,1.000367
7,0.673596
8,0.496106
9,0.381971
10,0.316742
11,0.254885
12,0.217035
13,0.183332
14,0.158306
15,0.143627
16,0.135339
17,0.132910
18,0.123273
19,0.120194
20,0.103705
21,0.099676
22,0.093561
23,0.088599
24,0.088600
25,0.086405
26,0.093595
27,0.087566
28,0.081190
29,0.075442
30,0.069472
